date,Blekinge,Dalarna,Gotland,Gävleborg,Halland,Jämtland,Jönköping,Kalmar,Kronoberg,Norrbotten,Skåne,Stockholm,Sörmland,Uppsala,Värmland,Västerbotten,Västernorrland,Västmanland,Västragötaland,Örebro,Östergötland,compartment
2021-04-28,0.908568764660811,0.887744928669669,0.528476216083736,0.810357997535386,0.756660764528277,0.860112287550748,0.972228199849673,0.891548033345688,1.01868209616748,0.712576561059207,1.01899697187043,0.985849789686687,0.872961510355174,0.798949156531352,0.9350202059225,1.06075458781757,0.844588736352405,0.89669939417003,0.866884464308642,0.858869886809033,0.842942962622495,lo
2021-04-29,0.862061655009229,0.880925864314833,0.51648893511567,0.801787302709555,0.742776868739704,0.834111510162214,0.948159523900876,0.926244361094961,0.992546573617312,0.88016355651631,1.02085815948259,0.974833492013999,0.874864556222909,0.812052634938872,0.885387304962646,0.996391493537936,0.823717323390617,0.874966167868031,0.890688154504865,0.892582119782561,0.843029070902813,lo
2021-04-30,0.84597317600628,0.861395830605327,0.560895825426056,0.79565413218429,0.776451453633485,0.871994600761027,0.955972015492575,0.943039902430778,0.975254137803703,1.04487114976957,1.05116535299186,0.95997976159827,0.867676460230065,0.820176093408041,0.862176083958171,0.960791244048058,0.820256110231016,0.94252425899478,0.880416832203535,0.889735810773,0.895299061659851,lo
2021-05-01,0.814300587674539,0.877270646301436,0.409710817498444,0.774892210440136,0.793755847847048,0.894746816896133,0.968221422261527,0.941368966918483,0.981169802066736,1.11328130217501,1.05932450948822,0.990968271790785,0.900839492073161,0.792920253362264,0.849163392445129,0.894159549948391,0.811281104221345,0.906357576695487,0.895241675340152,0.884220029463527,0.979259621689079,lo
2021-05-02,0.81366059875249,0.858924347494117,0.573787031781643,0.769837483189606,0.826254640686387,0.893447870390605,0.960227903830692,0.957678788871938,0.971884562035569,1.03215297395946,1.03861323934994,0.99238355871054,0.914856993182322,0.846883012051937,0.781968274690982,0.894486628003174,0.837443578342853,0.839626834962749,0.939626303049071,0.888784266226372,1.01444065014154,lo
2021-05-03,0.82359869859139,0.873600954639486,0.640495481439335,0.807375879471805,0.859280602629086,0.923324917192916,0.950707926030737,0.950197797779889,0.959383586296278,1.03202192482397,1.01907343188898,0.996751754467013,0.970187282443916,0.906099383515806,0.91976046992191,0.880579643524104,0.851951764233618,0.823624066182287,0.939541573805883,0.826846713237388,0.993697443582712,lo
2021-05-04,0.79912932576692,0.873684262835598,0.708746059009276,0.885725253773156,0.859751464045972,0.864393485810387,0.985857020211846,0.95900848423939,0.96772782496788,1.11447060226217,1.03163216043128,0.981362482289958,0.923032081681811,0.906047026339418,0.836457315231133,0.854192946866539,0.831588805723176,0.919539180233673,0.904556210272407,0.841039336179989,1.01789154984673,lo
2021-05-05,0.803954292319354,0.843891001193464,0.970297941447944,0.937817683570127,0.795842931140083,0.931133550249087,0.957187731514533,0.96733466679104,0.954102198705236,1.07743424462558,1.00464695316389,0.937781400903938,0.897909261245515,0.918154981220516,0.807647951372087,0.858599130840616,0.827938313239293,1.04688232618496,0.899422345536594,0.83927774285386,0.970949024505607,lo
2021-05-06,0.818018127216862,0.833045343101325,0.989651512817826,0.930115501873483,0.877764768880478,0.975974982294889,0.986494295389421,0.955711218040947,0.968143650726695,1.07631870709514,0.983132577395756,0.919154328658264,0.866661886701874,0.870254353158963,0.786460086409871,0.92899438810414,0.822240002479523,1.07285798487344,0.903026538443341,0.860843234836494,0.966919604012761,lo
2021-05-07,0.77070640615671,0.854529803235615,1.02035183496071,0.966413333603817,0.873446644962073,0.961794019660625,0.987102964086458,0.923854456679584,0.95205869980176,0.976779495303257,0.982743383799067,0.933991137277155,0.897717853284174,0.833421655536827,0.757707670009611,0.939645757015003,0.837664913339413,1.01525166983027,0.932115752474812,0.865295982895757,0.910329263624238,lo
2021-05-08,0.779701919838117,0.810192016951517,1.14559743980222,0.981926877597591,0.860016237123253,0.950614113747213,0.946986432144359,0.946628909823548,0.975628970553039,0.889109296671326,0.990149213019412,0.919204056352538,0.877281448751997,0.849987422327755,0.755049114505412,0.93736025146629,0.843102379045686,1.05808830034974,0.993542678124986,0.764794207175563,0.855841431151229,lo
2021-05-09,0.786040051571441,0.856054901926536,0.934946323628979,1.02141773108458,0.875140996902856,0.942149056721967,0.949544776395477,0.929972662904846,0.966983842452563,0.951571205063525,0.964345073347102,0.919154174865046,0.850454094994203,0.847569607460611,0.840858617488495,0.933723966986714,0.858630604034052,1.13591846022613,0.983225097419848,0.911697439880852,0.815271984368976,lo
2021-05-10,0.811104212380667,0.871221237976245,0.892263531634401,0.984130603231617,0.84749655224467,0.916734417486499,0.94414059413876,0.930079621179676,0.959872445771982,0.887417710729371,0.953874927240774,0.902560093873074,0.789149740728671,0.861030012541229,0.722958431830488,0.942253725135433,0.889160653530216,1.14558981897465,0.99252648244002,0.91010317629376,0.794014427277716,lo
2021-05-11,0.764696862124716,0.876488905877123,0.872937956984442,0.891501159841034,0.809312471105543,0.896199451519762,0.893284668284547,0.855313051721174,0.956812431586063,0.844877316846578,0.924930963655827,0.89095969412827,0.849514974816368,0.815300667656651,0.712606125846753,0.919924758729865,0.837637734746,0.991320885058258,1.01826612873559,0.926476464420464,0.855883463295815,lo
2021-05-12,0.708608981400909,0.891750070329596,0.810590925984091,0.853647442532727,0.884280024524251,0.838683688087473,0.832281361977784,0.809239417805082,0.852405029896516,1.03843698225155,0.918680285631564,0.878297567159731,0.871467849060914,0.761475196742423,0.727502842358051,0.880887288082926,0.756122984691135,0.851990885104186,0.934750494561641,0.927918334897519,0.823505136822984,lo
2021-05-13,0.639112208889118,0.885014444774837,0.827117441978867,0.8282675678825,0.773201486507936,0.754143371788121,0.792813746155075,0.763194142864773,0.877803711642498,1.0217923808814,0.919573587211803,0.837915197497718,0.793952674059332,0.698645110120973,0.698332163909704,0.835624673061629,0.698581229011014,0.83403842920164,0.841286483311927,0.883946081826832,0.788101837362283,lo
